Link,PTS21,PTS22,SNAP_PCT21,SNAP_PCT22
/players/B/BeckOd00.htm,8.70;3.10;2.00;7.90;2.30;0.60;1.80;14.10;8.80;13.70;0.70;9.70;9.90;1.80;85.1,,64.2%;79.5%;80.6%;54.2%;60.6%;72.9%;27.3%;98.4%;52.9%;72.4%;75.8%;91.4%;98.3%;78.5%;,
/players/H/HurtJa00.htm,28.76;21.80;20.54;28.18;22.92;25.00;23.54;11.22;16.68;18.62;30.78;6.86;27.64;16.66;12.96;312.16,24.72;33.02;27.60;15.96;27.66;16.90;28.40;20.02;21.80;24.20;29.82;34.40;30.38;34.70;8.46;378.04,100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;78.5%;100.0%;100.0%;100.0%;100.0%;100.0%;88.9%;100.0%;,100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;80.7%;100.0%;100.0%;100.0%;100.0%;87.7%;92.6%;100.0%;100.0%;
/players/T/ThieAd00.htm,21.20;9.90;11.00;4.60;4.00;18.80;13.80;6.60;6.50;14.20;18.20;;4.00;132.8,3.60;5.20;12.10;7.20;2.70;11.60;6.70;6.70;4.90;2.50;12.10;2.70;12.50;10.10;0.60;1.60;7.20;110,94.0%;100.0%;96.0%;98.5%;92.5%;97.8%;98.5%;88.9%;89.9%;94.3%;96.4%;7.9%;36.5%;,95.2%;96.7%;97.2%;97.2%;96.2%;86.5%;87.3%;93.9%;94.0%;77.2%;92.8%;86.8%;93.8%;90.0%;91.7%;84.5%;52.1%;
/players/R/RoetBe00.htm,12.02;13.80;13.22;9.28;16.02;10.86;14.64;16.20;22.92;8.52;19.34;24.82;11.92;6.36;6.82;11.36;218.1,,100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;86.1%;100.0%;100.0%;,
/players/H/HubbCh01.htm,0.40;1.00;7.90;7.10;13.40;12.50;5.60;13.10;3.60;8.70;;0.60;9.30;4.10;0.90;12.80;11.60;112.6,0.30;-2.00;2.50;;;0.70;13.30;1.40;2.50;6.50;15.90;6.70;12.50;6.50;6.90;73.7,10.9%;25.0%;54.8%;47.1%;64.8%;64.9%;53.1%;55.4%;16.9%;21.3%;2.0%;20.0%;39.1%;47.4%;48.6%;52.5%;44.4%;,5.7%;3.4%;11.5%;5.8%;15.9%;9.1%;46.0%;18.2%;40.4%;42.4%;31.9%;63.0%;45.6%;53.0%;69.5%;
/players/D/DaltAn00.htm,5.54;8.74;0.32;16.04;15.78;11.76;10.32;15.70;84.2,13.74;9.88;10.48;26.54;17.16;10.90;7.06;22.20;10.26;13.26;14.14;1.58;6.00;11.04;174.24,92.8%;35.4%;4.7%;49.2%;100.0%;100.0%;98.5%;100.0%;,95.0%;88.3%;87.5%;98.6%;84.4%;90.2%;91.5%;70.2%;86.0%;88.1%;85.5%;72.2%;81.2%;85.0%;
/players/D/DaviMi01.htm,7.20;6.30;7.00;8.60;10.10;1.00;6.60;1.80;1.80;2.10;4.10;12.90;8.60;2.10;3.50;11.70;-1.20;94.2,1.10;0.40;;;0.30;;0.70;;2.5,75.0%;63.9%;59.7%;67.1%;64.1%;60.3%;64.2%;55.9%;37.0%;48.1%;50.0%;53.5%;56.5%;45.0%;56.5%;50.9%;36.0%;,12.5%;30.5%;1.7%;2.9%;7.7%;8.5%;4.4%;1.4%;
/players/B/BarkSa00.htm,2.70;6.90;15.40;24.60;0.90;5.60;5.30;7.40;15.50;5.40;2.80;10.20;4.90;107.6,27.40;8.80;18.60;16.20;16.60;15.50;13.50;12.20;22.00;3.50;11.20;14.10;4.80;18.00;19.30;5.30;227,47.5%;84.1%;85.7%;88.9%;8.8%;62.1%;86.7%;75.4%;55.1%;58.7%;34.2%;53.6%;60.0%;,83.3%;83.6%;91.7%;93.8%;68.9%;87.7%;80.5%;80.0%;79.7%;76.3%;73.4%;87.9%;31.3%;85.7%;91.3%;79.4%;
/players/P/PachIs00.htm,,12.20;0.60;0.90;6.30;;1.80;4.30;0.90;6.20;10.70;14.60;14.20;9.30;7.70;9.00;10.90;12.40;122,,22.9%;8.8%;7.9%;21.3%;2.8%;14.9%;29.7%;22.0%;55.6%;40.0%;51.3%;45.5%;42.6%;35.1%;49.1%;45.0%;35.6%;
/players/S/StafMa00.htm,24.34;17.22;29.52;19.30;16.50;25.24;27.16;24.20;13.06;9.82;21.98;24.00;23.48;15.46;6.68;14.26;17.52;329.74,7.80;18.88;10.16;6.76;10.32;11.82;17.38;10.50;14.76;108.38,100.0%;100.0%;100.0%;100.0%;100.0%;84.8%;100.0%;86.6%;100.0%;100.0%;100.0%;92.6%;100.0%;100.0%;100.0%;100.0%;100.0%;,100.0%;98.4%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;59.4%;
/players/B/BenjEn00.htm,;0.70;9.90;2.20;2.00;1.30;;0.30;5.60;22,6.10;5.10;2.30;4.50;11.30;6.50;19.30;4.50;2.70;;;0.10;;1.90;0.30;64.6,0.0%;5.6%;24.3%;27.3%;21.7%;7.5%;3.8%;11.7%;32.9%;,33.8%;42.5%;26.5%;14.5%;53.6%;87.3%;72.7%;74.4%;27.0%;1.5%;6.2%;12.1%;0.0%;8.7%;10.0%;
/players/B/BurkTr00.htm,,5.50;4.70;2.10;1.80;2.40;11.10;13.00;8.50;1.50;8.60;1.90;61.1,,36.9%;44.6%;69.0%;64.8%;56.5%;50.0%;66.7%;18.2%;82.0%;72.3%;74.7%;
/players/F/FreeDe00.htm,2.90;0.80;0.40;3.50;11.30;9.90;14.30;5.80;14.00;6.00;15.70;7.20;2.40;8.00;7.70;2.70;112.6,,13.2%;15.5%;8.2%;27.4%;30.4%;39.7%;58.2%;57.5%;58.0%;49.4%;68.9%;66.2%;55.7%;55.9%;67.6%;38.0%;,
/players/H/HardMe00.htm,1.90;5.50;9.50;4.10;7.60;4.80;0.80;6.30;2.00;3.00;2.50;1.20;5.90;1.10;9.10;5.30;11.30;81.9,7.60;4.50;0.20;0.40;8.00;10.20;24.00;13.90;68.8,69.2%;78.4%;64.6%;52.2%;68.6%;59.8%;68.1%;49.4%;64.6%;31.6%;17.6%;15.8%;34.8%;43.1%;43.5%;31.1%;83.3%;,55.7%;54.4%;68.3%;46.3%;40.3%;44.8%;62.5%;54.0%;
/players/H/HuntKa00.htm,14.10;5.30;21.50;14.60;20.90;7.80;2.00;1.80;88,19.00;7.40;6.10;6.80;11.70;1.20;6.80;7.20;1.90;5.40;2.10;7.40;1.20;2.70;2.20;;2.80;91.9,47.5%;37.7%;40.7%;52.6%;44.4%;69.5%;38.3%;20.0%;,56.3%;46.3%;44.4%;49.3%;49.3%;42.9%;46.7%;45.8%;35.8%;42.7%;40.5%;38.1%;38.9%;25.8%;47.1%;31.6%;25.0%;
/players/B/BurkRe00.htm,0.60;;0.50;;;;10.80;0.90;4.00;5.40;4.50;6.60;4.70;26.90;7.90;6.60;79.4,7.00;0.90;3.00;9.90;2.80;1.90;0.20;1.50;3.00;;0.50;0.20;1.70;6.70;1.00;0.10;40.4,12.8%;18.0%;14.5%;6.4%;6.7%;7.1%;49.2%;30.4%;42.2%;61.4%;46.2%;44.4%;64.4%;61.8%;65.7%;70.2%;,71.4%;36.5%;40.7%;31.6%;20.7%;35.4%;18.5%;21.7%;25.0%;16.1%;18.0%;7.6%;19.0%;16.4%;18.6%;15.4%;
/players/R/RyanMa00.htm,7.36;16.30;15.62;29.02;21.58;17.44;6.14;28.52;0.68;2.12;10.20;12.08;11.90;13.44;13.10;6.58;10.84;222.92,15.28;1.80;15.28;17.84;6.14;27.16;9.92;22.68;8.62;10.16;9.12;11.28;155.28,97.2%;91.7%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;70.4%;92.6%;100.0%;100.0%;100.0%;98.3%;100.0%;100.0%;100.0%;,100.0%;96.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;100.0%;
