Name,Pos,Link,Pos_Rk,Year
Jonathan Taylor,QB,/players/T/TaylJo02.htm,1,2021
Cooper Kupp,RB,/players/K/KuppCo00.htm,1,2021
Deebo Samuel,RB,/players/S/SamuDe00.htm,2,2021
Josh Allen,RB,/players/A/AlleJo02.htm,3,2021
Austin Ekeler,WR,/players/E/EkelAu00.htm,1,2021
Justin Herbert,RB,/players/H/HerbJu00.htm,4,2021
Tom Brady,QB,/players/B/BradTo00.htm,2,2021
Mark Andrews,TE,/players/A/AndrMa00.htm,1,2021
Ja'Marr Chase,WR,/players/C/ChasJa00.htm,2,2021
Justin Jefferson,RB,/players/J/JeffJu00.htm,5,2021
Joe Mixon,WR,/players/M/MixoJo00.htm,3,2021
Davante Adams,QB,/players/A/AdamDa01.htm,3,2021
Patrick Mahomes,WR,/players/M/MahoPa00.htm,4,2021
Najee Harris,WR,/players/H/HarrNa00.htm,5,2021
Travis Kelce,RB,/players/K/KelcTr00.htm,6,2021
James Conner,WR,/players/C/ConnJa00.htm,6,2021
Mike Evans,QB,/players/E/EvanMi00.htm,4,2021
Aaron Rodgers,RB,/players/R/RodgAa00.htm,7,2021
Tyreek Hill,WR,/players/H/HillTy00.htm,7,2021
Matthew Stafford,RB,/players/S/StafMa00.htm,8,2021
Stefon Diggs,RB,/players/D/DiggSt00.htm,9,2021
Ezekiel Elliott,RB,/players/E/ElliEz00.htm,10,2021
Dak Prescott,TE,/players/P/PresDa01.htm,2,2021
Nick Chubb,WR,/players/C/ChubNi00.htm,8,2021
Mike Williams,TE,/players/W/WillMi07.htm,3,2021
D.K. Metcalf,RB,/players/M/MetcDK00.htm,11,2021
Tyler Lockett,WR,/players/L/LockTy00.htm,9,2021
Damien Harris,WR,/players/H/HarrDa06.htm,10,2021
Joe Burrow,TE,/players/B/BurrJo01.htm,4,2021
Diontae Johnson,WR,/players/J/JohnDi01.htm,11,2021
Jalen Hurts,RB,/players/H/HurtJa00.htm,12,2021
Alvin Kamara,WR,/players/K/KamaAl00.htm,12,2021
Antonio Gibson,RB,/players/G/GibsAn00.htm,13,2021
Leonard Fournette,RB,/players/F/FourLe00.htm,14,2021
Dalton Schultz,WR,/players/S/SchuDa00.htm,13,2021
Cordarrelle Patterson,WR,/players/P/PattCo00.htm,14,2021
George Kittle,WR,/players/K/KittGe00.htm,15,2021
Hunter Renfrow,RB,/players/R/RenfHu00.htm,15,2021
CeeDee Lamb,WR,/players/L/LambCe00.htm,16,2021
Kyler Murray,WR,/players/M/MurrKy00.htm,17,2021
Kirk Cousins,TE,/players/C/CousKi00.htm,5,2021
Aaron Jones,QB,/players/J/JoneAa00.htm,5,2021
Keenan Allen,RB,/players/A/AlleKe00.htm,16,2021
Derrick Henry,RB,/players/H/HenrDe00.htm,17,2021
Michael Pittman Jr.,QB,/players/P/PittMi01.htm,6,2021
Dalvin Cook,QB,/players/C/CookDa01.htm,7,2021
Josh Jacobs,WR,/players/J/JacoJo01.htm,18,2021
Rob Gronkowski,WR,/players/G/GronRo00.htm,19,2021
Tee Higgins,WR,/players/H/HiggTe00.htm,20,2021
Dawson Knox,QB,/players/K/KnoxDa00.htm,8,2021
D.J. Moore,TE,/players/M/MoorD.00.htm,6,2021
Chris Godwin,WR,/players/G/GodwCh00.htm,21,2021
Hunter Henry,QB,/players/H/HenrHu00.htm,9,2021
Melvin Gordon,RB,/players/G/GordMe00.htm,18,2021
Jaylen Waddle,RB,/players/W/WaddJa00.htm,19,2021
Brandin Cooks,RB,/players/C/CookBr00.htm,20,2021
Dallas Goedert,TE,/players/G/GoedDa00.htm,7,2021
Darnell Mooney,WR,/players/M/MoonDa00.htm,22,2021
Kyle Pitts,WR,/players/P/PittKy00.htm,23,2021
Javonte Williams,QB,/players/W/WillJa10.htm,10,2021
Amon-Ra St. Brown,WR,/players/S/StxxAm00.htm,24,2021
Zach Ertz,WR,/players/E/ErtzZa00.htm,25,2021
Terry McLaurin,TE,/players/M/McLaTe00.htm,8,2021
Marquise Brown,QB,/players/B/BrowMa04.htm,11,2021
Amari Cooper,WR,/players/C/CoopAm00.htm,26,2021
Devin Singletary,RB,/players/S/SingDe00.htm,21,2021
Adam Thielen,RB,/players/T/ThieAd00.htm,22,2021
Christian Kirk,WR,/players/K/KirkCh01.htm,27,2021
David Montgomery,RB,/players/M/MontDa01.htm,23,2021
AJ Dillon,TE,/players/D/DillAJ00.htm,9,2021
Kendrick Bourne,WR,/players/B/BourKe00.htm,28,2021
Darrel Williams,TE,/players/W/WillDa10.htm,10,2021
D'Andre Swift,TE,/players/S/SwifDA00.htm,11,2021
Mike Gesicki,WR,/players/G/GesiMi00.htm,29,2021
Nick Ralston,,/players/R/RalsNi00.htm,2,2021
Elijah Mitchell,,/players/M/MitcEl00.htm,1,2021
Tory Carter,TE,/players/C/CartTo01.htm,12,2021
Ryan Tannehill,RB,/players/T/TannRy00.htm,24,2021
Carson Wentz,QB,/players/W/WentCa00.htm,12,2021
