"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","+1"
"2",1,"Austin Ekeler",LAC,"RB2","5","3 out of 5 stars","+2"
"3",1,"Jonathan Taylor",IND,"RB3","11","3 out of 5 stars","+7"
"4",1,"Bijan Robinson",ATL,"RB4","11","4 out of 5 stars","+5"
"5",1,"Nick Chubb",CLE,"RB5","5","3 out of 5 stars","+10"
"6",2,"Derrick Henry",TEN,"RB6","7","4 out of 5 stars","+14"
"7",2,"Saquon Barkley",NYG,"RB7","13","2 out of 5 stars","+1"
"8",2,"Josh Jacobs",LV,"RB8","13","3 out of 5 stars","+11"
"9",2,"Tony Pollard",DAL,"RB9","7","3 out of 5 stars","+13"
"10",2,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","-9"
"11",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","-6"
"12",2,"Ja'Marr Chase",CIN,"WR2","7","4 out of 5 stars","-9"
"13",3,"Cooper Kupp",LAR,"WR3","10","3 out of 5 stars","-7"
"14",3,"Tyreek Hill",MIA,"WR4","10","3 out of 5 stars","-7"
"15",3,"Breece Hall",NYJ,"RB10","7","3 out of 5 stars","+14"
"16",3,"Mark Andrews",BAL,"TE2","13","4 out of 5 stars","+18"
"17",3,"A.J. Brown",PHI,"WR5","10","3 out of 5 stars","-4"
"18",3,"Rhamondre Stevenson",NE,"RB11","11","2 out of 5 stars","+7"
"19",3,"Stefon Diggs",BUF,"WR6","13","2 out of 5 stars","-8"
"20",3,"CeeDee Lamb",DAL,"WR7","7","2 out of 5 stars","-8"
"21",3,"Najee Harris",PIT,"RB12","6","3 out of 5 stars","+5"
"22",3,"Davante Adams",LV,"WR8","13","2 out of 5 stars","-8"
"23",3,"Travis Etienne Jr.",JAC,"RB13","9","2 out of 5 stars","+9"
"24",4,"Amon-Ra St. Brown",DET,"WR9","9","3 out of 5 stars","-7"
"25",4,"Garrett Wilson",NYJ,"WR10","7","3 out of 5 stars","-4"
"26",4,"Jaylen Waddle",MIA,"WR11","10","3 out of 5 stars","-2"
"27",4,"Kenneth Walker III",SEA,"RB14","5","2 out of 5 stars","+6"
"28",4,"Aaron Jones",GB,"RB15","6","4 out of 5 stars","+16"
"29",4,"Tee Higgins",CIN,"WR12","7","4 out of 5 stars","-1"
"30",5,"Joe Mixon",CIN,"RB16","7","3 out of 5 stars","+16"
"31",5,"Chris Olave",NO,"WR13","11","4 out of 5 stars","-1"
"32",5,"J.K. Dobbins",BAL,"RB17","13","3 out of 5 stars","+18"
"33",5,"T.J. Hockenson",MIN,"TE3","13","3 out of 5 stars","+7"
"34",5,"Amari Cooper",CLE,"WR14","5","3 out of 5 stars","+5"
"35",5,"Deebo Samuel",SF,"WR15","9","3 out of 5 stars","+1"
"36",5,"DeVonta Smith",PHI,"WR16","10","3 out of 5 stars","-9"
"37",5,"DK Metcalf",SEA,"WR17","5","3 out of 5 stars","-2"
"38",5,"Miles Sanders",CAR,"RB18","7","4 out of 5 stars","+15"
"39",5,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-21"
"40",5,"Josh Allen",BUF,"QB2","13","3 out of 5 stars","-24"
"41",5,"Jahmyr Gibbs",DET,"RB19","9","5 out of 5 stars","-4"
"42",5,"George Kittle",SF,"TE4","9","3 out of 5 stars","+13"
"43",5,"Jalen Hurts",PHI,"QB3","10","3 out of 5 stars","-20"
"44",5,"DJ Moore",CHI,"WR18","13","3 out of 5 stars","+8"
"45",5,"Cam Akers",LAR,"RB20","10","3 out of 5 stars","+11"
"46",5,"Keenan Allen",LAC,"WR19","5","3 out of 5 stars","-5"
"47",5,"Calvin Ridley",JAC,"WR20","9","4 out of 5 stars","+4"
"48",6,"Terry McLaurin",WAS,"WR21","14","3 out of 5 stars","+1"
"49",6,"Christian Watson",GB,"WR22","6","3 out of 5 stars","+14"
"50",6,"Jerry Jeudy",DEN,"WR23","9","2 out of 5 stars","+7"
